T_K,J_exp,J_calc,J_trap1,J_trap2,J_trap3,J_trap4
3.091099853515630116e+02,5.458016273479909375e+13,4.229529577375899506e+10,4.376678016029927000e+15,1.064385547008235742e+13,2.904424384228858948e+09,3.145234522930155435e+04
3.098299865722660229e+02,1.434828518217799805e+13,4.731570741870168304e+10,4.439002290801257000e+15,1.099313528212197656e+13,3.052192347891633034e+09,8.519326247952153790e+04
3.098875878906250136e+02,1.992124811615990000e+14,4.773969277926869965e+10,4.444013066438174000e+15,1.102148509956798633e+13,3.064307908363391876e+09,9.085947743948374409e+04
3.107899780273439774e+02,0.000000000000000000e+00,5.485565893427764893e+10,4.522966236994266000e+15,1.147333126973410547e+13,3.259316153753182411e+09,8.946548149957280839e+04
3.108571838378910002e+02,0.000000000000000000e+00,5.542895627651582336e+10,4.528887797760043000e+15,1.150768825598176562e+13,3.274315478894015789e+09,8.111473909955445561e+04
3.112319218562200263e+02,0.000000000000000000e+00,5.862564876775975800e+10,4.561906281261991000e+15,1.169926200291541016e+13,3.357951362961150169e+09,3.455119596113033185e+04
3.116142828805109843e+02,2.858819038703469922e+13,6.219601840393060303e+10,4.595852559078678000e+15,1.189923221571007617e+13,3.446527130731436729e+09,1.553203200000000470e+04
3.122399902343750000e+02,4.317202608129219375e+14,6.837584253602097321e+10,4.651683078172719000e+15,1.223138470124891016e+13,3.595012954225346088e+09,1.553203200000000470e+04
3.124799804687500000e+02,3.129628716426950000e+14,7.089311742190095520e+10,4.673202719413547000e+15,1.236070180801757617e+13,3.653398880223144531e+09,2.094204764601615898e+04
3.127476924015920190e+02,9.747599233159048828e+12,7.395146229076054382e+10,4.697388325633187000e+15,1.250822556296707227e+13,3.720970944796549797e+09,3.618845210752449202e+04
3.131999816894530113e+02,1.532804846531819688e+14,7.911842144751245117e+10,4.738249001873654000e+15,1.275746142391788281e+13,3.835131418111115932e+09,6.194668164600969612e+04
3.139299926757810226e+02,2.568332104184719688e+14,8.842673928538406372e+10,4.804805273211995000e+15,1.317107953676820703e+13,4.027900689461300850e+09,5.555269037490736082e+04
3.144100036621089771e+02,1.178081346855030000e+15,9.481455691037602234e+10,4.848731575504014000e+15,1.344611745585734766e+13,4.156968591273051739e+09,4.090064958327510976e+04
3.148899841308589771e+02,3.942209578234469375e+14,1.021298525547795410e+11,4.893159551311606000e+15,1.373088554066605078e+13,4.293575330601051331e+09,3.096055358327510476e+04
3.151300048828130116e+02,0.000000000000000000e+00,1.057879654898921814e+11,4.915376363985057000e+15,1.387328768887491016e+13,4.361887385841310501e+09,2.598987358325626701e+04
3.154992206280049913e+02,1.724083440919750000e+12,1.116822090846571655e+11,4.949678122255352000e+15,1.409485920004818359e+13,4.468976815014125824e+09,2.780656632713393628e+04
3.156099853515630116e+02,2.393728139874589844e+13,1.136293340691646271e+11,4.960053285009701000e+15,1.416301752841929102e+13,4.502447794425917625e+09,3.468817125023123663e+04
3.162438424917369844e+02,0.000000000000000000e+00,1.247718624355600891e+11,5.019425716782773000e+15,1.455305726049805078e+13,4.693987290099979401e+09,7.406852878867377876e+04
3.166353759765630116e+02,0.000000000000000000e+00,1.323251596954786682e+11,5.056376536990232000e+15,1.479966636464024805e+13,4.816802161883651733e+09,6.987394795814067766e+04
3.170599975585939774e+02,0.000000000000000000e+00,1.409267119474598083e+11,5.096619051739417000e+15,1.507058949653885156e+13,4.952747563139560699e+09,4.788982795815537975e+04
3.175399780273439774e+02,0.000000000000000000e+00,1.511246670487875671e+11,5.142278883477434000e+15,1.538045158531572852e+13,5.109477012413920403e+09,5.433504452134945313e+04
3.182408081054690001e+02,0.000000000000000000e+00,1.674691788415944214e+11,5.209470757059290000e+15,1.584396517151342578e+13,5.347691250250727654e+09,1.595597581213528756e+05
3.186392352764419797e+02,1.208602902799309961e+13,1.776520390893432922e+11,5.247949517613476000e+15,1.611358053183272656e+13,5.488291038831704140e+09,1.430332807095031894e+05
3.189803906249999841e+02,4.530995123870179375e+14,1.868037420389313965e+11,5.281032956163816000e+15,1.634740413809264062e+13,5.611192236162918091e+09,9.181120139868710248e+04
3.192299804687500000e+02,0.000000000000000000e+00,1.934991437639490356e+11,5.305236857094563000e+15,1.651846989332161133e+13,5.701106964946283340e+09,5.433703947868471732e+04
3.197099914550780113e+02,1.261553176845679883e+13,2.076766434201060791e+11,5.352142647697855000e+15,1.685548715971607617e+13,5.880966846490678787e+09,5.798671366692309675e+04
3.199499816894530113e+02,1.121297370722438000e+15,2.150751450192906189e+11,5.375679147303353000e+15,1.702589834650250000e+13,5.972544950938675880e+09,7.786690566692304856e+04
3.204299926757810226e+02,2.909026068634560000e+14,2.300787017858597717e+11,5.422804472869019000e+15,1.736788466404177930e+13,6.156733413412944794e+09,1.129695055832713551e+05
3.209199829101560226e+02,0.000000000000000000e+00,2.474228019042625732e+11,5.471396251576615000e+15,1.772825070089965625e+13,6.354820652644950867e+09,1.028221135832714790e+05
3.213999938964839771e+02,0.000000000000000000e+00,2.644918554474140625e+11,5.519014822488314000e+15,1.808166894300610156e+13,6.549228234054371834e+09,9.295908718745634542e+04
3.218800048828130116e+02,2.969837688073421875e+14,2.839834334640453491e+11,5.567142237300985000e+15,1.844721724619791406e+13,6.754623555990760803e+09,8.550354118744221341e+04
3.226000061035160229e+02,6.238500062381510000e+14,3.144965031645288696e+11,5.639566733050590000e+15,1.900129158504540234e+13,7.068080248609302521e+09,9.881159847952160635e+04
3.228961580716650133e+02,1.955411999520390000e+14,3.282801115645405884e+11,5.669583400596724000e+15,1.923476180789973047e+13,7.202199370598204613e+09,1.279439301718245842e+05
3.233299865722660229e+02,3.618068259918710000e+14,3.484715092527716064e+11,5.713554359006923000e+15,1.957676877597404297e+13,7.398668426529302597e+09,1.706194384795216320e+05
3.238099975585939774e+02,2.487012255140110000e+14,3.736843333210482178e+11,5.762669731173186000e+15,1.996688744213520703e+13,7.627226058119274139e+09,1.562258115623398626e+05
3.240499877929689774e+02,7.080882522078985000e+14,3.864757589867951660e+11,5.787255847855167000e+15,2.016269160810333594e+13,7.742220543719274521e+09,1.450432035623398842e+05
3.245299987792969887e+02,4.104550697165750000e+14,4.131748472034221802e+11,5.836589119856383000e+15,2.055842637075601172e+13,7.976236314711978912e+09,1.271812551874484052e+05
3.250199890136719887e+02,4.213836340177710000e+14,4.430574211205316162e+11,5.887320393237612000e+15,2.097206035042129297e+13,8.224578512823978424e+09,1.195707111874484108e+05
3.253971470424110066e+02,0.000000000000000000e+00,4.661650378091918945e+11,5.926382775281340000e+15,2.129079821722451172e+13,8.416082421263121605e+09,1.151608172265531757e+05
3.260169067382810226e+02,8.037971192641299805e+12,5.093756874608914795e+11,5.991223590315283000e+15,2.183197938362475000e+13,8.747959207908557892e+09,1.793350000836422259e+05
3.264700012207030113e+02,1.115996904480590000e+14,5.418095092169082031e+11,6.038719760196002000e+15,2.223016162388546875e+13,8.993168171516338348e+09,2.121666047498076805e+05
3.269499816894530113e+02,2.411736284258879688e+14,5.800358668097031250e+11,6.089457561219657000e+15,2.266359823763317969e+13,9.264761414524337769e+09,1.823463167498076800e+05
3.274299926757810226e+02,0.000000000000000000e+00,6.187712316115355225e+11,6.140247369961618000e+15,2.309843991402619922e+13,9.537823612882328033e+09,1.609126945003706496e+05
3.279100036621089771e+02,1.030938057664129883e+13,6.624028140862745361e+11,6.191508669234053000e+15,2.354659558737133594e+13,9.824916807886226654e+09,2.205570625003494788e+05
3.281499938964839771e+02,1.431360791784990000e+14,6.842172183447441406e+11,6.217137689354758000e+15,2.377065917788487500e+13,9.968454279150226593e+09,2.503773505003494793e+05
3.285199890136719887e+02,8.042099924413980000e+14,7.195714220806953125e+11,6.256796286917197000e+15,2.412034022280979297e+13,1.019421223935005951e+10,2.655974239163225284e+05
3.293599853515630116e+02,7.279367734990668750e+14,8.066435823557681885e+11,6.347410190401309000e+15,2.493097389137217188e+13,1.072439273385030937e+10,1.786184239162813465e+05
3.297634676419780249e+02,1.289901539640440000e+14,8.539388552052678223e+11,6.391344502832797000e+15,2.533254882048050000e+13,1.099228940197462082e+10,2.210988910501643841e+05
3.303299865722660229e+02,2.052119991233859863e+12,9.208523409907846680e+11,6.453069454543811000e+15,2.589752086299677734e+13,1.136966320316569710e+10,2.885593488962630508e+05
3.308099975585939774e+02,0.000000000000000000e+00,9.845023833381813965e+11,6.505827561408447000e+15,2.639027034756880469e+13,1.170513597389308548e+10,2.687034287497865153e+05
3.310499877929689774e+02,4.941850131081210156e+13,1.016775319108720337e+12,6.532234609448002000e+15,2.663753839638762109e+13,1.187387904358908653e+10,2.537932847497865150e+05
3.310499877929689774e+02,3.719351095360500000e+12,1.016775319108720337e+12,6.532234609448002000e+15,2.663753839638762109e+13,1.187387904358908653e+10,2.537932847497865150e+05
3.320199890136719887e+02,1.460698651369101250e+15,1.158968966626256104e+12,6.639651802991831000e+15,2.765848256562148047e+13,1.258035113230650902e+10,2.888701832711259485e+05
3.325000000000000000e+02,0.000000000000000000e+00,1.234807831373453125e+12,6.693110240342532000e+15,2.817332096075817969e+13,1.294094487347722054e+10,3.245681336250998429e+05
3.329899902343750000e+02,0.000000000000000000e+00,1.320016020213385742e+12,6.748080977101930000e+15,2.871181413413098047e+13,1.332397340560522079e+10,3.397892216250998317e+05
3.335346139761119844e+02,1.043043465315599976e+12,1.418258901020773682e+12,6.809341700974635000e+15,2.931568096654832812e+13,1.375604460430070877e+10,3.404392510141578969e+05
3.339499816894530113e+02,1.448168014830130078e+13,1.500300926877426270e+12,6.856387097963312000e+15,2.978696687111630859e+13,1.409832703116813850e+10,3.081817279372595949e+05
3.346799926757810226e+02,5.643819818076469727e+12,1.652352652833820801e+12,6.939386265562436000e+15,3.062602951441297266e+13,1.471289105097484398e+10,3.217471317296454799e+05
3.349199829101560226e+02,7.835914430977000000e+13,1.706150854020522705e+12,6.966825631211229000e+15,3.090709369082986719e+13,1.492123049308684349e+10,3.602650037296455121e+05
3.353999938964839771e+02,2.221781625388490234e+13,1.814205104822940430e+12,7.021723941133490000e+15,3.146981953703673828e+13,1.533863549536274338e+10,4.350522992083625868e+05
3.363699951171880116e+02,3.820598226958525625e+14,2.060798245742360352e+12,7.133669256329313000e+15,3.264214225264655469e+13,1.622592775576357651e+10,4.450963592083720141e+05
3.365242745535720132e+02,2.856383639925500000e+14,2.104735187799482910e+12,7.151623411535555000e+15,3.283394272790432812e+13,1.637371276688504982e+10,4.488573105923602707e+05
3.366653747558600003e+02,1.311892595867479883e+13,2.145383048856911377e+12,7.168058525667514000e+15,3.300988453455351953e+13,1.650952891998794746e+10,4.525099320209327852e+05
3.373399963378910229e+02,0.000000000000000000e+00,2.339726670539120117e+12,7.246637312350843000e+15,3.385108913966683594e+13,1.715888665715572929e+10,4.699736720209268387e+05
3.381523014948920149e+02,0.000000000000000000e+00,2.602983975655626465e+12,7.342074216250348000e+15,3.489411870233234375e+13,1.797996610142087173e+10,4.830562745048605721e+05
3.385499877929689774e+02,5.495031431078959375e+14,2.739784715921367188e+12,7.388997938448355000e+15,3.541226676311435156e+13,1.839174744104733658e+10,5.131527557297185413e+05
3.390299987792969887e+02,0.000000000000000000e+00,2.916949080953289062e+12,7.445935550134311000e+15,3.604897657464701562e+13,1.890353588139921570e+10,5.901933977297003148e+05
3.397500000000000000e+02,2.004844348686639844e+13,3.200288237782791016e+12,7.531730140715583000e+15,3.701906032068963281e+13,1.969154033937131500e+10,6.188209459372509737e+05
3.402399902343750000e+02,7.310171563885791250e+14,3.404759435360916504e+12,7.590374972119267000e+15,3.768919561047842969e+13,2.024127022727531815e+10,5.807682259372508852e+05
3.404799804687500000e+02,2.478713493728409766e+13,3.510051526259833984e+12,7.619199824069853000e+15,3.802142562089125781e+13,2.051595371563832474e+10,5.749178556460160762e+05
3.411699914550779908e+02,4.265550883803755625e+14,3.835362441815587402e+12,7.702521177665417000e+15,3.899422709275928906e+13,2.132955904660113907e+10,6.142145222860064823e+05
3.414271984863279954e+02,4.558475696201250000e+14,3.959191164496375488e+12,7.733624940364332000e+15,3.935866937118856250e+13,2.163539605376818085e+10,6.319223521045628004e+05
3.419299926757810226e+02,6.061469963431900000e+14,4.226807071171841309e+12,7.794876029301831000e+15,4.008923824886539062e+13,2.225873318163493729e+10,6.970008141045498196e+05
3.426600036621089771e+02,2.705234560816711250e+14,4.634117942187982422e+12,7.884100647297211000e+15,4.116211252203703125e+13,2.318105851461031342e+10,7.729785632501714863e+05
3.430696059006909877e+02,1.704272701451061875e+14,4.880068020755187500e+12,7.934436333480798000e+15,4.177537562466820312e+13,2.371462296300206375e+10,7.984263835578809958e+05
3.431399841308589771e+02,4.548608562529557500e+14,4.922327387547617188e+12,7.943085056984253000e+15,4.188074705022467969e+13,2.380630049310631561e+10,8.027988512501713121e+05
3.441099853515630116e+02,6.115250983350220000e+14,5.560204354834876953e+12,8.063062143625338000e+15,4.336584071357452344e+13,2.511755621003027725e+10,7.879917791665091645e+05
3.441561373197120020e+02,1.117917050521313000e+15,5.591445315000400391e+12,8.068783019777358000e+15,4.343702766685690625e+13,2.518071166132252121e+10,7.860802222434342839e+05
3.450799865722660229e+02,6.478725762298770000e+14,6.276334728914624023e+12,8.184043831590661000e+15,4.489418050969560156e+13,2.649268503425286484e+10,8.773528129171859473e+05
3.453200073242189774e+02,5.095784818917870000e+14,6.459364490964826172e+12,8.214052732361314000e+15,4.527550787616108594e+13,2.683762785819261932e+10,9.121475729171611601e+05
3.460499877929689774e+02,0.000000000000000000e+00,7.079770184713291016e+12,8.306031069808204000e+15,4.646673310664201562e+13,2.793422967333751297e+10,1.031741427333892207e+06
3.465299987792969887e+02,3.280620337548868750e+14,7.507376182297228516e+12,8.366714109225341000e+15,4.725908954598729688e+13,2.866922524409538651e+10,1.085740676791628124e+06
3.467799987792969887e+02,6.226286670437090000e+14,7.748793511839137695e+12,8.398506117346529000e+15,4.768021573206140625e+13,2.906508496633538437e+10,1.083152004791628337e+06
3.477500000000000000e+02,7.934481893733990000e+14,8.729252506295954102e+12,8.522251227572574000e+15,4.933226836598292188e+13,3.062938479402677536e+10,1.131691856521301903e+06
3.482299804687500000e+02,8.236948530156625000e+14,9.250295878579130859e+12,8.583804817342882000e+15,5.016457357766547656e+13,3.142669977437877274e+10,1.203757552521301666e+06
3.487200012207030113e+02,1.083217758222999875e+15,9.827103713732328125e+12,8.647006657291524000e+15,5.103125984083991406e+13,3.226794537612749481e+10,1.270392768104554620e+06
3.492000122070310226e+02,3.927095310678882500e+14,1.041246324063020703e+13,8.709080923394024000e+15,5.188793378716203125e+13,3.310435823004729080e+10,1.332522318104539765e+06
3.496900024414060226e+02,5.968816226609260000e+14,1.105559238765836328e+13,8.772775095621956000e+15,5.277821710009446094e+13,3.398383402990007782e+10,1.367518357229266781e+06
3.499299926757810226e+02,1.156571106932845000e+14,1.138413227335798242e+13,8.804069435113940000e+15,5.321895800452594531e+13,3.442221462871607208e+10,1.376215941229266813e+06
3.504100036621089771e+02,2.366809714077870312e+14,1.204542634574752148e+13,8.866689215173159000e+15,5.410182081348173438e+13,3.530124775467929840e+10,1.395036996875250712e+06
3.506888024902340248e+02,8.836120379784218750e+14,1.247359283731499414e+13,8.903346377027725000e+15,5.462859884987500781e+13,3.583521567998370361e+10,1.421018870795255294e+06
3.516300048828130116e+02,9.931535212095550000e+13,1.396460669120573047e+13,9.027364843085106000e+15,5.642022507411591406e+13,3.766032452277998352e+10,1.545519465396718588e+06
3.520427880859380139e+02,9.832183885592210000e+14,1.467529220197792969e+13,9.082088147401476000e+15,5.722250985635114062e+13,3.848877079039343262e+10,1.645964135476718657e+06
3.523499755859380116e+02,1.479467175898808125e+14,1.520417444255258398e+13,9.122812466892726000e+15,5.781955899661920312e+13,3.910528894303598785e+10,1.720713657396717928e+06
3.528399963378910229e+02,9.850754909426790000e+14,1.614209728122042969e+13,9.188273480701318000e+15,5.879714636314728125e+13,4.013214200494084167e+10,1.717454167979067424e+06
3.533200073242189774e+02,1.028692692237712000e+15,1.706796539458785938e+13,9.252434858554064000e+15,5.975666248874092188e+13,4.114128991895247650e+10,1.705028257979071932e+06
3.535700073242189774e+02,8.984820514812468750e+14,1.759285140289643750e+13,9.286055343204000000e+15,6.026686650381846875e+13,4.168530230263455963e+10,1.760821352251042612e+06
3.542999877929689774e+02,6.731581993949208750e+14,1.916923815220603125e+13,9.384433587675286000e+15,6.176735635584534375e+13,4.329267166935455322e+10,1.987582952251041774e+06
3.550199890136719887e+02,5.775651283687750000e+14,2.088703402031407031e+13,9.482171729201458000e+15,6.328405222038421875e+13,4.494387257709963989e+10,2.060013630458561471e+06
3.555100097656250000e+02,5.140777447845649375e+14,2.210665849182481250e+13,9.548894799806876000e+15,6.432702386764852344e+13,4.608713268828891754e+10,2.111066712958944961e+06
3.556946176382210183e+02,1.136719561775676750e+15,2.260537155391743750e+13,9.574185599817598000e+15,6.472807419125694531e+13,4.653267072969166565e+10,2.147386294497379567e+06
3.561476862980770193e+02,1.080045762510480000e+15,2.382932400793570312e+13,9.636254831787022000e+15,6.571234062636021875e+13,4.762611989030760193e+10,2.236522602189732715e+06
3.567200012207030113e+02,4.796021570490010000e+14,2.548164710014983594e+13,9.715039023705966000e+15,6.697589794091352344e+13,4.904486460489421082e+10,2.366464205000740942e+06
3.574500122070310226e+02,6.453638465007452500e+14,2.770812892861546094e+13,9.815947738450062000e+15,6.860991295444914844e+13,5.089601034873616028e+10,2.535424515645985957e+06
3.579400024414060226e+02,1.116975401013230500e+15,2.935973637317418750e+13,9.884188399138824000e+15,6.973423108056651562e+13,5.219065013596815491e+10,2.563329843645986170e+06
3.581799926757810226e+02,1.270310125341268750e+15,3.016867016390723438e+13,9.917611702306266000e+15,7.028490607706546094e+13,5.282474625497615051e+10,2.576997475645985920e+06
3.586699829101560226e+02,1.146599990861568000e+15,3.193165358525386719e+13,9.986181839455876000e+15,7.142720305847939062e+13,5.415397831136057281e+10,2.691958932292695157e+06
3.592099938964839794e+02,5.898176850192038750e+14,3.396290037665522656e+13,1.006201315218214000e+16,7.270036367631971875e+13,5.564632692849402618e+10,2.887666517092633061e+06
3.598800048828130116e+02,1.114052969954689000e+15,3.669769893303473438e+13,1.015667988431895600e+16,7.431193417107593750e+13,5.756031280912126923e+10,3.004906635687879287e+06
3.606099853515630116e+02,1.250612312715043500e+15,3.986800655429833594e+13,1.026031090371685400e+16,7.609486560438510938e+13,5.969916429984735870e+10,3.140188376688775606e+06
3.610999755859380116e+02,9.037871694596570000e+14,4.215887987423562500e+13,1.033027520933029400e+16,7.731397019445793750e+13,6.117932885501535034e+10,3.315230888688774779e+06
3.613399963378910229e+02,1.220485045968228000e+15,4.328105966131199219e+13,1.036454708673746000e+16,7.791114617857093750e+13,6.190438454923500061e+10,3.400975118688733783e+06
3.618299865722660229e+02,1.101639954456970000e+15,4.580874716104839844e+13,1.043504980096518800e+16,7.916021844832193750e+13,6.344510077200418091e+10,3.525331355396668892e+06
3.625599975585939774e+02,4.943133651736824375e+14,4.971338986095796875e+13,1.054038493735619400e+16,8.103770661902404688e+13,6.577447952083106232e+10,3.703874797000810504e+06
3.627135913085940047e+02,2.834646359767370000e+14,5.060371591895468750e+13,1.056269129478107000e+16,8.144076634074662500e+13,6.628114291331243134e+10,3.742044765640817117e+06
3.632899780273439774e+02,2.917792763226851500e+15,5.394481616024859375e+13,1.064639970194858400e+16,8.295331662657476562e+13,6.818248362739105225e+10,3.885284077000809368e+06
3.640199890136719887e+02,6.901599896976860000e+14,5.859029084512121875e+13,1.075321767810173600e+16,8.491368607789510938e+13,7.068389133118539429e+10,4.093001977834247053e+06
3.644100097656249773e+02,2.181890798178784000e+15,6.112333046093278906e+13,1.081038303269559000e+16,8.596641819566157812e+13,7.203159853388775635e+10,4.208413217109492980e+06
3.647500000000000000e+02,1.414953609799226000e+15,6.356072552685165625e+13,1.086062467766481200e+16,8.690699631192515625e+13,7.325511764258541870e+10,4.338671450709501281e+06
3.654799804687500000e+02,1.585642539577072750e+15,6.886960752430173438e+13,1.096862185375065800e+16,8.893346327960164062e+13,7.589717146516807556e+10,4.617360451501134783e+06
3.657392319899340123e+02,2.492988339187526000e+15,7.093461917802403125e+13,1.100727410997871400e+16,8.966974575875634375e+13,7.687129532950758362e+10,4.714001321655024774e+06
3.664500122070310226e+02,1.872717004557949250e+15,7.665336309283660938e+13,1.111333355014457800e+16,9.169327453818828125e+13,7.955273979089321899e+10,4.981314632730319165e+06
3.667000122070310226e+02,2.378258820776724000e+15,7.886451229003215625e+13,1.115094477591897000e+16,9.242208476948837500e+13,8.053333651050921631e+10,5.083567176730318926e+06
3.671799926757810226e+02,2.661354421706329000e+15,8.310974600261654688e+13,1.122315539102878800e+16,9.382134347528523438e+13,8.241600560305320740e+10,5.279884072730317712e+06
3.677622985839839771e+02,2.069826115326447000e+15,8.862616162658850000e+13,1.131128569790495000e+16,9.554792993192314062e+13,8.476460490536911011e+10,5.473123129834092222e+06
3.683999938964839771e+02,9.403164431389560000e+14,9.490122019111887500e+13,1.140813315041102800e+16,9.745720061987667188e+13,8.737769357519120789e+10,5.660730493980414234e+06
3.688899841308589771e+02,1.209641727102058000e+15,1.002349371873000625e+14,1.148323545232855200e+16,9.896189261890092188e+13,8.947067942802319336e+10,5.891583661980412900e+06
3.693800048828130116e+02,2.208086521608641750e+15,1.055689863781222031e+14,1.155834243176875800e+16,1.004666783331745312e+14,9.156379563623107910e+10,6.122451207980841398e+06
3.696199951171880116e+02,2.356640390569743000e+15,1.084586279633349062e+14,1.159547520956482000e+16,1.012225797857132812e+14,9.263227431089222717e+10,6.251337206835250370e+06
3.701099853515630116e+02,2.032519449625467500e+15,1.143704336079035000e+14,1.167130462955845800e+16,1.027667295735182031e+14,9.481567342644421387e+10,6.515169398835249245e+06
3.707799911499030259e+02,1.760486515257243000e+15,1.229675297077879688e+14,1.177559991402599000e+16,1.049107370863345156e+14,9.787698073497343445e+10,6.822757820126497187e+06
3.711699865722659979e+02,3.533591692732451500e+15,1.281797475146868125e+14,1.183655393096518800e+16,1.061719100668511719e+14,9.968959947044227600e+10,6.980250776006371714e+06
3.720599975585939774e+02,3.120662236484816500e+15,1.410404215908065938e+14,1.197673477881857800e+16,1.091070086646272656e+14,1.039604709449474640e+11,7.475962369689482264e+06
3.725499877929689774e+02,2.561904314795649000e+15,1.485499178997565938e+14,1.205437345828936400e+16,1.107471623085927031e+14,1.063694319705184631e+11,7.745436894355592318e+06
3.732799987792969887e+02,2.607448207024448000e+15,1.605001812959418438e+14,1.217084743752318200e+16,1.132325955991941562e+14,1.100585136638136597e+11,8.066695924355522729e+06
3.735199890136719887e+02,2.853178315516906000e+15,1.646625204780056250e+14,1.220937197843334600e+16,1.140616365282638750e+14,1.113002191002539368e+11,8.221236476648328826e+06
3.740100097656250000e+02,3.876168898505190000e+15,1.735324260603421250e+14,1.228840411929667200e+16,1.157733895480344062e+14,1.138815060029773254e+11,8.614472406648235396e+06
3.745000000000000000e+02,2.265652974478179000e+15,1.826205766761762812e+14,1.236763961026168800e+16,1.174954787498518125e+14,1.164882622645885315e+11,8.971360322793107480e+06
3.747399902343750000e+02,2.648504430076690000e+15,1.874212056182106250e+14,1.240678059969128000e+16,1.183556088547831406e+14,1.178059412705405273e+11,9.088156450793107972e+06
3.754700012207030113e+02,9.561402647869878750e+14,2.022015520571770000e+14,1.252600236889861800e+16,1.209799003045328594e+14,1.218337411240576477e+11,9.465438823002140969e+06
3.759599914550780113e+02,2.671138022275421000e+15,2.130267585810787188e+14,1.260684648488050800e+16,1.227816631507288125e+14,1.246372321436416321e+11,9.830744935002140701e+06
3.764500122070310226e+02,3.930846929174718000e+15,2.240017533947572812e+14,1.268782516609695200e+16,1.245897515189148438e+14,1.274565088616148529e+11,1.019775711702295952e+07
